timestep,seed_ratio,claim_step,replicate,support_ratio
1,0.05,-1,12,0.03594798307248469
2,0.05,-1,12,0.04765380936934924
3,0.05,-1,12,0.05325591355793465
4,0.05,-1,12,0.06095283601117806
5,0.05,-1,12,0.04426821903630432
6,0.05,-1,12,0.04800908516101207
7,0.05,-1,12,0.040590314184087706
8,0.05,-1,12,0.04114044163753481
9,0.05,-1,12,0.05186226854198396
10,0.05,-1,12,0.05355344765663571
11,0.05,-1,12,0.050895852215754725
12,0.05,-1,12,0.04619453597872094
1,0.05,-1,13,0.03635203924649547
2,0.05,-1,13,0.041213014704718984
3,0.05,-1,13,0.042819025039338474
4,0.05,-1,13,0.058528763682585666
5,0.05,-1,13,0.06057765641105831
6,0.05,-1,13,0.07283925384973093
7,0.05,-1,13,0.08303769512848123
8,0.05,-1,13,0.08598534313894812
9,0.05,-1,13,0.10728407508355065
10,0.05,-1,13,0.11879124935813744
11,0.05,-1,13,0.131310355422878
12,0.05,-1,13,0.1512043834053674
1,0.05,-1,14,0.046153711828966014
2,0.05,-1,14,0.0541656212183332
3,0.05,-1,14,0.06051789867105566
4,0.05,-1,14,0.051942131340525166
5,0.05,-1,14,0.05402078175947979
6,0.05,-1,14,0.05815063415343244
7,0.05,-1,14,0.05456993134392353
8,0.05,-1,14,0.06597606841856941
9,0.05,-1,14,0.07089806065300328
10,0.05,-1,14,0.08200310500778495
11,0.05,-1,14,0.09190394665894595
12,0.05,-1,14,0.09237873383563364
1,0.05,-1,15,0.0577157109274592
2,0.05,-1,15,0.07572890390068525
3,0.05,-1,15,0.0986422899194999
4,0.05,-1,15,0.10238043516564221
5,0.05,-1,15,0.11167053785025079
6,0.05,-1,15,0.12338428408717886
7,0.05,-1,15,0.1313988279949387
8,0.05,-1,15,0.14472114303309894
9,0.05,-1,15,0.17113092541167077
10,0.05,-1,15,0.19583460091761937
11,0.05,-1,15,0.21992204171661947
12,0.05,-1,15,0.22273423305099913
1,0.05,-1,16,0.02883405165117929
2,0.05,-1,16,0.0330461055571686
3,0.05,-1,16,0.042940396848443245
4,0.05,-1,16,0.04548599944336643
5,0.05,-1,16,0.05282289501569031
6,0.05,-1,16,0.04903895057769311
7,0.05,-1,16,0.043818045199034726
8,0.05,-1,16,0.041157876907202365
9,0.05,-1,16,0.0402705825677881
10,0.05,-1,16,0.07286001801551409
11,0.05,-1,16,0.08706550081394793
12,0.05,-1,16,0.09671584483570307
1,0.05,-1,17,0.05048283754786229
2,0.05,-1,17,0.06847155363418139
3,0.05,-1,17,0.09016971551870097
4,0.05,-1,17,0.1005753281851578
5,0.05,-1,17,0.1158154385862658
6,0.05,-1,17,0.13038259589209114
7,0.05,-1,17,0.14051880267053798
8,0.05,-1,17,0.15724110686815856
9,0.05,-1,17,0.18034628805371744
10,0.05,-1,17,0.17960065086033186
11,0.05,-1,17,0.1900884715347323
12,0.05,-1,17,0.19538489059522327
1,0.05,-1,18,0.04957990942349167
2,0.05,-1,18,0.044884413487787544
3,0.05,-1,18,0.056564081790842984
4,0.05,-1,18,0.07270496392673861
5,0.05,-1,18,0.08320024546175174
6,0.05,-1,18,0.09746537234061975
7,0.05,-1,18,0.10096456019961862
8,0.05,-1,18,0.130588342883329
9,0.05,-1,18,0.1305000411144035
10,0.05,-1,18,0.15599904849655116
11,0.05,-1,18,0.1573074907177528
12,0.05,-1,18,0.183520146179008
1,0.05,-1,19,0.04919875727621484
2,0.05,-1,19,0.05276878532845794
3,0.05,-1,19,0.03692067500797839
4,0.05,-1,19,0.03279322587697933
5,0.05,-1,19,0.03455026197256596
6,0.05,-1,19,0.03714234800421208
7,0.05,-1,19,0.061833984914687466
8,0.05,-1,19,0.09354460586331834
9,0.05,-1,19,0.09248546908598189
10,0.05,-1,19,0.10671591606389405
11,0.05,-1,19,0.12269786718112427
12,0.05,-1,19,0.14589372209698256
1,0.05,-1,20,0.04221706166599083
2,0.05,-1,20,0.042972589567517254
3,0.05,-1,20,0.05492996825950009
4,0.05,-1,20,0.07822500910638706
5,0.05,-1,20,0.09501653745134095
6,0.05,-1,20,0.09232080291470413
7,0.05,-1,20,0.10868584882495512
8,0.05,-1,20,0.13995776325943943
9,0.05,-1,20,0.1595163441851044
10,0.05,-1,20,0.1745453160512723
11,0.05,-1,20,0.19704894027380948
12,0.05,-1,20,0.2207761192576872
1,0.05,-1,21,0.029340822979606218
2,0.05,-1,21,0.03181742311706248
3,0.05,-1,21,0.029446075866145865
4,0.05,-1,21,0.036623999180730886
5,0.05,-1,21,0.04139145663839024
6,0.05,-1,21,0.039860283502961946
7,0.05,-1,21,0.0493327340428282
8,0.05,-1,21,0.06014274564798118
9,0.05,-1,21,0.0667130852886294
10,0.05,-1,21,0.07157736778323416
11,0.05,-1,21,0.08519737768075683
12,0.05,-1,21,0.0854931879744266
1,0.05,-1,22,0.04892289141670952
2,0.05,-1,22,0.03802172842223689
3,0.05,-1,22,0.057084706677956044
4,0.05,-1,22,0.05553314654775869
5,0.05,-1,22,0.062049507575639
6,0.05,-1,22,0.06917726548902682
7,0.05,-1,22,0.09782419936945103
8,0.05,-1,22,0.10094159448091311
9,0.05,-1,22,0.10171992600102492
10,0.05,-1,22,0.13172958335109555
11,0.05,-1,22,0.13794288514185948
12,0.05,-1,22,0.14671348168133114
1,0.05,-1,23,0.034543120202708846
2,0.05,-1,23,0.043187106792574044
3,0.05,-1,23,0.051975187644579736
4,0.05,-1,23,0.054074499360087
5,0.05,-1,23,0.07221144217618378
6,0.05,-1,23,0.08040275504010917
7,0.05,-1,23,0.08401532751599794
8,0.05,-1,23,0.1055601332676727
9,0.05,-1,23,0.11850168606253918
10,0.05,-1,23,0.13367757368764216
11,0.05,-1,23,0.14880367336599373
12,0.05,-1,23,0.15707000900726323
1,0.05,-1,24,0.04155259277061613
2,0.05,-1,24,0.05299687352236808
3,0.05,-1,24,0.06374480922952044
4,0.05,-1,24,0.06550270739999435
5,0.05,-1,24,0.07465070869575172
6,0.05,-1,24,0.09651831446431391
7,0.05,-1,24,0.12116530758605223
8,0.05,-1,24,0.14684647907313753
9,0.05,-1,24,0.15845353275978996
10,0.05,-1,24,0.17779550799460445
11,0.05,-1,24,0.1886169061087786
12,0.05,-1,24,0.21267167701771428
1,0.05,-1,25,0.02725919955772054
2,0.05,-1,25,0.020183128884340533
3,0.05,-1,25,0.020740118234166632
4,0.05,-1,25,0.03373865079818214
5,0.05,-1,25,0.03755885290765837
6,0.05,-1,25,0.044397802590765825
7,0.05,-1,25,0.07367262452856516
8,0.05,-1,25,0.07806947926278406
9,0.05,-1,25,0.10175263692136191
10,0.05,-1,25,0.10113554800253184
11,0.05,-1,25,0.12172018994658244
12,0.05,-1,25,0.1378960570121119
1,0.05,-1,26,0.04480838148476786
2,0.05,-1,26,0.05904161079003586
3,0.05,-1,26,0.0768232249560772
4,0.05,-1,26,0.0762418357149666
5,0.05,-1,26,0.07155543655612165
6,0.05,-1,26,0.08313543369027689
7,0.05,-1,26,0.10852891750484402
8,0.05,-1,26,0.11967049237220932
9,0.05,-1,26,0.13366287657032078
10,0.05,-1,26,0.1672704561523404
11,0.05,-1,26,0.1838722470316552
12,0.05,-1,26,0.21352681283248967
1,0.05,-1,27,0.03850874739538918
2,0.05,-1,27,0.04056973127464787
3,0.05,-1,27,0.02565201992776577
4,0.05,-1,27,0.019973264270800567
5,0.05,-1,27,0.041681259270835117
6,0.05,-1,27,0.04015706311057949
7,0.05,-1,27,0.06353709655947187
8,0.05,-1,27,0.08579704106093873
9,0.05,-1,27,0.09234244708499355
10,0.05,-1,27,0.12242085450890916
11,0.05,-1,27,0.13306254506938336
12,0.05,-1,27,0.14114317445319383
1,0.05,-1,28,0.052566081996489336
2,0.05,-1,28,0.04502736930565479
3,0.05,-1,28,0.05301688278987479
4,0.05,-1,28,0.06252668824319942
5,0.05,-1,28,0.062083430352404705
6,0.05,-1,28,0.06604940709493327
7,0.05,-1,28,0.07386285917377831
8,0.05,-1,28,0.07227051158495017
9,0.05,-1,28,0.05729862023857675
10,0.05,-1,28,0.0713437717948254
11,0.05,-1,28,0.06658831147172335
12,0.05,-1,28,0.0805995821013597
1,0.05,-1,29,0.052525089292738115
2,0.05,-1,29,0.07223086102130666
3,0.05,-1,29,0.07519203644133954
4,0.05,-1,29,0.09390552077299874
